breed_id,breed
58,Terrier - West Highland White
41,Schnauzer (unspecified
18,Doberman Pinscher
21,German Boxer
34,Poodle - Miniature
38,Retriever - Golden
13,Crossbred Canine/dog
45,Shepherd Dog - Australian
31,Pit Bull
52,Spitz - German Pomeranian
16,Dalmatian
15,Dachshund - Miniature
27,Maltese
42,Schnauzer - Miniature
8,Chihuahua
36,Poodle - Toy
55,Terrier - Boston
39,Retriever - Labrador
43,Sheepdog - Shetland
56,Terrier - Jack Russell
25,Hound
59,Terrier - Yorkshire
47,Shepherd Dog - German
53,Terrier
30,Mountain Cur
19,Dog
10,Collie - Border
37,Pug
14,Dachshund
2,Beagle
61,Weimaraner
50,Spaniel - Cocker American
26,Hound - Basset
6,Cattle Dog
17,Deutsche Dogge  Great Dane
40,Rottweiler
54,Terrier (unspecified
46,Shepherd Dog - Belgian Malinois
9,Collie (unspecified
57,Terrier - Rat
51,Spaniel - King Charles Cavalier
60,Unknown
5,Bulldog - French
24,Havanese
44,Shepherd
23,Greyhound
32,Pointing Dog - German Short-haired
7,Cattle Dog - Australian (blue heeler  red heeler  Queensland cattledog
35,Poodle - Standard
0,Akita
49,Spaniel (unspecified
29,Mixed (Dog
28,Mastiff
48,Shih Tzu
4,Bulldog
12,Corgi - Welsh Cardigan
3,Bichon Frise
33,Poodle
1,American Pit Bull Terrier
11,Coonhound - Black and Tan
22,Great Pyrenees
20,Dog (other
