b_drug_id,breed_id,drug_id
0,58,54
1,41,54
2,18,22
3,21,16
4,34,22
5,38,40
6,13,22
7,45,42
8,31,31
9,52,54
10,16,54
11,21,54
12,15,54
13,27,12
14,42,4
15,8,54
16,36,6
17,27,54
18,55,54
19,39,54
20,43,31
21,39,51
22,27,54
23,31,54
24,56,54
25,39,25
26,39,25
27,39,25
28,13,54
29,39,25
30,25,25
31,39,25
32,27,24
33,59,51
34,47,25
35,53,37
36,30,54
37,39,40
38,25,4
39,55,22
40,47,54
41,19,49
42,45,4
43,10,54
44,37,15
45,14,25
46,2,22
47,27,44
48,61,36
49,52,53
50,45,22
51,50,22
52,26,22
53,13,37
54,6,36
55,13,22
56,17,14
57,53,39
58,2,54
59,31,54
60,39,22
61,42,37
62,40,22
63,54,54
64,59,38
65,46,37
66,56,54
67,2,39
68,19,48
69,19,4
70,9,37
71,57,54
72,2,54
73,51,54
74,60,31
75,5,4
76,52,42
77,47,54
78,59,22
79,24,54
80,59,54
81,39,54
82,47,22
83,43,34
84,50,25
85,21,25
86,61,25
87,19,13
88,44,51
89,21,54
90,27,54
91,23,34
92,32,35
93,23,35
94,40,45
95,19,53
96,15,25
97,7,54
98,35,54
99,39,54
100,39,22
101,38,22
102,39,36
103,58,37
104,27,54
105,45,25
106,37,54
107,39,54
108,39,44
109,14,33
110,39,37
111,19,36
112,0,46
113,8,22
114,47,55
115,59,4
116,7,22
117,44,14
118,49,22
119,25,22
120,39,37
121,29,54
122,13,54
123,28,37
124,58,56
125,34,54
126,38,54
127,39,9
128,44,54
129,53,21
130,54,54
131,48,54
132,48,54
133,47,54
134,53,54
135,48,54
136,41,54
137,52,54
138,55,54
139,48,54
140,47,7
141,56,54
142,50,47
143,56,36
144,13,4
145,51,54
146,24,36
147,8,54
148,13,54
149,59,54
150,16,54
151,39,22
152,39,54
153,57,22
154,55,54
155,31,9
156,44,54
157,8,42
158,39,40
159,38,22
160,13,32
161,32,37
162,21,22
163,38,22
164,48,15
165,32,37
166,51,37
167,27,15
168,19,48
169,27,41
170,39,11
171,4,54
172,38,2
173,26,3
174,39,33
175,52,54
176,13,36
177,45,20
178,37,54
179,39,54
180,52,54
181,18,54
182,2,21
183,48,54
184,39,54
185,12,19
186,49,19
187,39,19
188,45,54
189,8,54
190,59,36
191,39,20
192,39,54
193,39,22
194,3,22
195,38,54
196,0,17
197,39,34
198,59,54
199,58,9
200,48,22
201,13,54
202,2,54
203,39,36
204,48,54
205,23,54
206,56,54
207,36,54
208,51,54
209,39,54
210,13,20
211,59,54
212,2,54
213,33,54
214,19,42
215,19,20
216,14,54
217,43,54
218,39,54
219,48,54
220,46,17
221,39,54
222,1,17
223,8,54
224,47,36
225,50,22
226,2,12
227,59,54
228,36,54
229,39,54
230,32,35
231,27,54
232,56,12
233,48,22
234,59,54
235,8,54
236,38,54
237,11,34
238,39,22
239,47,34
240,25,22
241,39,12
242,13,35
243,31,54
244,31,54
245,21,25
246,27,54
247,14,25
248,8,52
249,8,43
250,22,51
251,39,54
252,59,4
253,39,22
254,13,15
255,39,54
256,47,35
257,39,37
258,14,42
259,52,51
260,39,4
261,39,22
262,4,54
263,13,54
264,19,36
265,3,54
266,56,26
267,21,22
268,39,4
269,42,44
270,39,37
271,39,37
272,55,53
273,13,22
274,53,56
275,8,54
276,13,37
277,8,42
278,8,23
279,8,29
280,13,22
281,51,39
282,13,15
283,10,19
284,8,50
285,59,54
286,0,54
287,39,36
288,23,39
289,44,48
290,40,54
291,56,54
292,6,0
293,13,54
294,1,47
295,2,54
296,13,21
297,20,54
298,39,54
299,48,54
300,8,53
301,39,54
302,55,21
303,13,54
304,47,36
305,5,54
306,48,56
307,25,54
308,26,28
309,13,54
310,39,20
311,39,54
312,39,17
313,39,54
314,47,31
315,34,42
316,29,47
317,39,4
318,52,22
319,14,40
320,53,54
321,55,4
322,10,54
323,29,31
324,24,8
325,27,44
326,23,22
327,8,54
328,26,6
329,39,10
330,39,31
331,27,54
332,42,6
333,2,24
334,47,54
335,1,35
336,38,25
337,21,4
338,50,25
339,35,22
340,2,25
341,47,30
342,19,50
343,48,25
344,47,25
345,39,6
346,27,6
347,47,35
348,13,22
349,10,22
350,43,44
351,2,22
352,13,27
353,17,4
354,38,54
355,47,44
356,12,37
357,8,15
358,38,37
359,8,4
360,49,4
361,26,22
362,13,39
363,38,22
364,47,54
365,31,37
366,4,11
367,39,37
368,2,37
369,8,54
370,13,22
371,13,37
372,39,22
373,58,22
374,39,37
375,60,8
376,13,54
377,18,48
378,59,54
379,17,22
380,7,9
381,33,54
382,56,54
383,22,48
384,58,15
385,11,33
386,10,37
387,41,22
388,39,51
389,53,54
390,30,40
391,47,1
392,25,42
393,23,37
394,4,5
395,52,54
396,47,54
397,39,54
398,56,54
399,9,17
400,1,18
401,52,54
402,14,54
403,47,54
404,28,54
405,10,54
406,59,54
407,50,54
408,13,19
409,50,12
410,8,40
411,2,54
412,2,54
413,14,54
414,13,54
