d_react_id,react_id,drug_id
0,324,54
1,318,54
2,97,22
3,109,16
4,94,22
5,64,40
6,77,22
7,33,42
8,273,31
9,227,54
10,393,54
11,387,54
12,153,54
13,166,12
14,356,4
15,183,54
16,254,6
17,156,54
18,398,54
19,119,54
20,1,31
21,276,51
22,46,54
23,400,54
24,399,54
25,99,25
26,101,25
27,98,25
28,259,54
29,100,25
30,294,25
31,371,25
32,37,24
33,157,51
34,59,25
35,124,37
36,122,54
37,35,40
38,145,4
39,192,22
40,204,54
41,409,49
42,411,4
43,262,54
44,311,15
45,128,25
46,169,22
47,260,44
48,120,36
49,61,53
50,22,22
51,136,22
52,190,22
53,133,37
54,174,36
55,299,22
56,230,14
57,24,39
58,132,54
59,167,54
60,296,22
61,353,37
62,175,22
63,50,54
64,357,38
65,180,37
66,319,54
67,36,39
68,162,48
69,160,4
70,395,37
71,115,54
72,394,54
73,373,54
74,246,31
75,269,4
76,32,42
77,222,54
78,74,22
79,274,54
80,62,54
81,348,54
82,82,22
83,116,34
84,15,25
85,187,25
86,291,25
87,53,13
88,158,51
89,287,54
90,350,54
91,186,34
92,292,35
93,188,35
94,41,45
95,23,53
96,242,25
97,402,54
98,121,54
99,389,54
100,170,22
101,127,22
102,358,36
103,205,37
104,403,54
105,114,25
106,201,54
107,406,54
108,11,44
109,63,33
110,349,37
111,172,36
112,70,46
113,253,22
114,171,55
115,159,4
116,298,22
117,8,14
118,134,22
119,177,22
120,49,37
121,280,54
122,202,54
123,181,37
124,234,56
125,3,54
126,247,54
127,313,9
128,338,54
129,244,21
130,367,54
131,377,54
132,304,54
133,107,54
134,232,54
135,251,54
136,286,54
137,332,54
138,325,54
139,303,54
140,0,7
141,370,54
142,391,47
143,198,36
144,233,4
145,305,54
146,339,36
147,290,54
148,219,54
149,216,54
150,217,54
151,14,22
152,346,54
153,249,22
154,310,54
155,255,9
156,340,54
157,10,42
158,374,40
159,79,22
160,5,32
161,189,37
162,194,22
163,364,22
164,161,15
165,176,37
166,195,37
167,163,15
168,258,48
169,72,41
170,111,11
171,321,54
172,143,2
173,110,3
174,141,33
175,342,54
176,31,36
177,265,20
178,316,54
179,344,54
180,361,54
181,322,54
182,80,21
183,382,54
184,331,54
185,83,19
186,84,19
187,87,19
188,214,54
189,337,54
190,210,36
191,65,20
192,336,54
193,90,22
194,267,22
195,366,54
196,138,17
197,223,34
198,212,54
199,225,9
200,91,22
201,323,54
202,328,54
203,19,36
204,261,54
205,211,54
206,355,54
207,306,54
208,302,54
209,103,54
210,86,20
211,147,54
212,149,54
213,312,54
214,45,42
215,264,20
216,295,54
217,329,54
218,343,54
219,341,54
220,266,17
221,375,54
222,66,17
223,108,54
224,345,36
225,81,22
226,165,12
227,148,54
228,385,54
229,220,54
230,226,35
231,228,54
232,154,12
233,92,22
234,67,54
235,390,54
236,378,54
237,271,34
238,78,22
239,197,34
240,93,22
241,54,12
242,200,35
243,388,54
244,18,54
245,288,25
246,155,54
247,102,25
248,42,52
249,17,43
250,404,51
251,240,54
252,139,4
253,191,22
254,238,15
255,40,54
256,275,35
257,401,37
258,277,42
259,13,51
260,57,4
261,118,22
262,129,54
263,405,54
264,359,36
265,362,54
266,413,26
267,300,22
268,410,4
269,278,44
270,243,37
271,179,37
272,21,53
273,178,22
274,257,56
275,285,54
276,207,37
277,203,42
278,414,23
279,231,29
280,196,22
281,308,39
282,250,15
283,58,19
284,283,50
285,146,54
286,301,54
287,20,36
288,365,39
289,44,48
290,60,54
291,314,54
292,351,0
293,218,54
294,376,47
295,327,54
296,76,21
297,320,54
298,315,54
299,381,54
300,151,53
301,347,54
302,75,21
303,208,54
304,360,36
305,333,54
306,248,56
307,330,54
308,6,28
309,334,54
310,88,20
311,335,54
312,224,17
313,352,54
314,140,31
315,30,42
316,363,47
317,272,4
318,95,22
319,392,40
320,397,54
321,105,4
322,268,54
323,47,31
324,9,8
325,34,44
326,96,22
327,39,54
328,252,6
329,229,10
330,245,31
331,209,54
332,2,6
333,184,24
334,117,54
335,199,35
336,16,25
337,270,4
338,73,25
339,193,22
340,293,25
341,137,30
342,279,50
343,85,25
344,289,25
345,396,6
346,56,6
347,4,35
348,297,22
349,125,22
350,43,44
351,130,22
352,408,27
353,69,4
354,48,54
355,52,44
356,206,37
357,106,15
358,173,37
359,144,4
360,236,4
361,182,22
362,25,39
363,284,22
364,168,54
365,7,37
366,55,11
367,235,37
368,123,37
369,407,54
370,135,22
371,281,37
372,131,22
373,29,22
374,126,37
375,112,8
376,412,54
377,256,48
378,386,54
379,38,22
380,241,9
381,372,54
382,150,54
383,27,48
384,282,15
385,142,33
386,12,37
387,28,22
388,113,51
389,384,54
390,26,40
391,68,1
392,164,42
393,71,37
394,309,5
395,368,54
396,354,54
397,239,54
398,152,54
399,185,17
400,51,18
401,383,54
402,379,54
403,215,54
404,104,54
405,237,54
406,326,54
407,317,54
408,89,19
409,221,12
410,263,40
411,380,54
412,213,54
413,307,54
414,369,54
